DIE DEUTSCHEN;EIN RÜCKKEHRENDER CHERUSKER;1
DIE DEUTSCHEN;INGOMARS TRABANTEN;1
DIE DEUTSCHEN;EINER DER TRABANTEN;1
DIE DEUTSCHEN;DIE TENKTERER;1
DIE DEUTSCHEN;ERSTER BRUKTERER;1
DIE DEUTSCHEN;DRITTER;1
DIE DEUTSCHEN;EIN CHERUSKER;1
DIE DEUTSCHEN;FRITZE;1
DIE DEUTSCHEN;EINIGE IN SEINEM HEER;1
DIE DEUTSCHEN;STIMMEN;1
DIE DEUTSCHEN;GRÜTTEMEIER;1
DIE DEUTSCHEN;VIELE DEUTSCHE;1
DIE DEUTSCHEN;EINER SEINES GEFOLGS;1
EGGIUS;EIN VETERAN;1
EGGIUS;ERSTER;2
EGGIUS;ZWEITER;2
EGGIUS;THUSNELDA;1
EGGIUS;VARUS;3
EGGIUS;EINER;1
EGGIUS;SCHREIBER;1
EGGIUS;HERMANN;3
EGGIUS;EIN ALTER CHERUSKER;1
EGGIUS;FELDARZT;1
EGGIUS;EIN VEXILLAR;1
EGGIUS;ZWEITER VEXILLAR;1
EGGIUS;ERSTER VEXILLAR;1
EGGIUS;VIELE CHERUSKER;1
EGGIUS;INGOMAR;1
EGGIUS;EIN ALTER;1
EGGIUS;EIN GRAUER KNECHT;1
EGGIUS;EIN CHERUSKISCHER REITER;1
EGGIUS;EIN RÜCKKEHRENDER CHERUSKER;1
EGGIUS;INGOMARS TRABANTEN;1
EGGIUS;EINER DER TRABANTEN;1
EGGIUS;ERSTER BRUKTERER;1
EGGIUS;EIN CHERUSKER;2
