Title;Number of characters;Max Degree;Average Degree;Density;Average Path Length
1726_Praetorius,_Johann_Philipp_-_Orpheus_oder_Die_wunderbare_Beständigkeit_der_Liebe;22;14;5.45;0.26;1.97
1730_Gottsched,_Johann_Christoph_-_Der_sterbende_Cato;14;10;5.14;0.4;1.48
1732_Gottsched,_Luise_Adelgunde_Victorie_-_Die_Pietisterey_im_Fischbein-Rocke;18;16;6.67;0.39;1.65
1734_Neuber,_Friederike_Caroline_-_Ein_Deutsches_Vorspiel;14;13;7.14;0.55;1.45
1736_Neuber,_Friederike_Caroline_-_Die_von_der_Weisheit_wider_die_Unwissenheit_beschützte_Schauspielkunst;13;10;3.85;0.32;1.81
1737_Neuber,_Friederike_Caroline_-_Die_Verehrung_der_Vollkommenheit_durch_die_gebesserten_deutschen_Schauspiele;9;8;5.33;0.67;1.33
1741_Gottsched,_Johann_Christoph_-_Atalanta_oder_die_bezwungene_Sprödigkeit;10;9;7.4;0.82;1.18
1741_Schlegel,_Johann_Elias_-_Der_geschäftige_Müßiggänger;16;15;6.0;0.4;1.6
1742_Borkenstein,_Hinrich_-_Der_Bookesbeutel;9;8;6.89;0.86;1.14
1743_Krüger,_Johann_Christian_-_Die_Geistlichen_auf_dem_Lande;11;10;6.55;0.65;1.35
1745_Gellert,_Christian_Fürchtegott_-_Die_Betschwester;5;4;4.0;1.0;1.0
1745_Goldoni,_Carlo_-_Der_Diener_zweier_Herren;11;10;7.27;0.73;1.27
1745_Gottsched,_Luise_Adelgunde_Victorie_-_Das_Testament;11;9;7.09;0.71;1.31
1745_Gottsched,_Luise_Adelgunde_Victorie_-_Der_Witzling;7;6;4.29;0.71;1.29
1745_Quistorp,_Theodor_Johann_-_Der_Hypochondrist;11;9;5.64;0.56;1.44
1746_Schlegel,_Johann_Elias_-_Canut;7;6;3.71;0.62;1.38
1747_Gellert,_Christian_Fürchtegott_-_Die_zärtlichen_Schwestern;8;7;6.0;0.86;1.14
1747_Krüger,_Johann_Christian_-_Die_Candidaten_oder_Die_Mittel_zu_einem_Amte_zu_gelangen;11;10;6.0;0.6;1.4
1747_Lessing,_Gotthold_Ephraim_-_Damon,_oder_die_wahre_Freundschaft;5;4;3.6;0.9;1.1
