;closeness;central_character_rank;weighted_centralities_rank;degree;betweenness
EIN ZIETHENSCHER HUSAR;0.3048888888888889;135.0;{'closeness': 173, 'degree': 181, 'betweenness': 141};7;0.0
VOLK (5. AKT);0.28711509715994016;147.16666666666669;{'closeness': 191, 'degree': 133, 'betweenness': 142};11;0.0
FRAU DES KRÄMERS;0.4139655172413793;108.33333333333334;{'closeness': 52, 'degree': 35, 'betweenness': 143};26;0.0
ADJUTANTEN;0.4673479318734793;22.166666666666668;{'closeness': 6, 'degree': 15, 'betweenness': 10};34;0.0657477699833039
EIN ADJUTANT (5. AKT);0.3686756238003839;125.0;{'closeness': 98, 'degree': 85, 'betweenness': 144};17;0.0
EIN ENGLISCHER DRAGONEROFFIZIER;0.38186878727634194;134.83333333333334;{'closeness': 78, 'degree': 160, 'betweenness': 145};9;0.0
VOLK (4. AKT);0.3154022988505747;185.66666666666669;{'closeness': 169, 'degree': 190, 'betweenness': 188};6;0.0
VERSPRENGTE ENGLISCHE DRAGONER;0.3498724954462659;144.5;{'closeness': 127, 'degree': 161, 'betweenness': 147};9;0.0
GRÄFIN VON CHOISY;0.22518171160609612;164.0;{'closeness': 197, 'degree': 201, 'betweenness': 148};1;0.0
EIN BÜRGER (3. AKT);0.4268444444444444;30.833333333333336;{'closeness': 36, 'degree': 16, 'betweenness': 28};34;0.010950808723587075
DER HERANSPRENGENDE ADJUTANT;0.44669767441860464;110.33333333333334;{'closeness': 22, 'degree': 50, 'betweenness': 149};25;0.0
ERSTER PIQUEUR;0.015;122.66666666666667;{'closeness': 199, 'degree': 198, 'betweenness': 87};3;0.0
NEBENSTEHENDE KAMERADEN;0.44669767441860464;112.0;{'closeness': 23, 'degree': 51, 'betweenness': 151};25;0.0
ZWEITER JÄGER;0.3524403669724771;139.66666666666669;{'closeness': 120, 'degree': 116, 'betweenness': 152};12;0.0
JOUVE;0.4306726457399103;17.166666666666664;{'closeness': 35, 'degree': 13, 'betweenness': 16};38;0.022572346296523035
SCHLESIER;0.3048888888888889;160.33333333333331;{'closeness': 174, 'degree': 182, 'betweenness': 153};7;0.0
SCHWEIZERGARDIST;0.3228235294117647;155.0;{'closeness': 159, 'degree': 151, 'betweenness': 164};10;0.0
SAVOYARDENKNABE;0.4436027713625866;10.833333333333334;{'closeness': 29, 'degree': 7, 'betweenness': 14};47;0.027937178048414325
LOBAU;0.3570260223048327;151.16666666666669;{'closeness': 108, 'degree': 183, 'betweenness': 154};7;0.0
DER TRAINKNECHT EINER KANONE;0.3154022988505747;160.16666666666669;{'closeness': 168, 'degree': 173, 'betweenness': 155};8;0.0
DIE OFFIZIERE;0.3306024096385542;147.5;{'closeness': 135, 'degree': 135, 'betweenness': 156};11;0.0
BERTRAND;0.5320775623268699;3.3333333333333335;{'closeness': 4, 'degree': 4, 'betweenness': 6};57;0.09336527980115739
ERSTER AUFWÄRTER;0.28711509715994016;159.0;{'closeness': 193, 'degree': 136, 'betweenness': 157};11;0.0
